Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,PPG,base,2.0,1.0,high,edge,1.6824884080134173,0.9407,222.27984574025908,3.4050247870786685,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.1772268596126336,1.682488408013417,0.9225,160.98449672327624,222.27984574025908,3.2750247870786686,3.4050247870786685,1.3496500278777381,756.868384413605,373.9832637929964,145.2143037478772,18.4944870814711,0.0,0.41682557252122737,0.4417104363918237,0.12724751122900732,0.06834149792442393,L2_Edge
baseline,PPG,large,0.5,1.0,low,edge,2.437797251554142,1.0,142.51072744999405,3.532018752729447,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.8961612645050483,2.437797251554142,1.0,154.17943744046912,142.51072744999405,3.302018752729447,3.532018752729447,2.105104684875514,503.35056181849416,347.41225969457696,210.4044395651494,19.311532252709384,0.0,0.30769978605003945,0.531981405406861,0.14506397682239178,0.16687650039824156,L2_Edge
baseline,PPG,large,0.5,1.0,high,edge,2.908573254043683,0.9407,143.69037552485025,3.711265439013305,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.971537306024682,2.908573254043683,0.9225,155.5837803867265,143.69037552485025,3.481265439013305,3.711265439013305,2.087822506581988,533.27312460422,417.9339831150725,251.0367607729056,19.311532252709384,0.0,0.339133713662075,0.5944521878242873,0.17021117497892838,0.22829232382811732,L2_Edge
baseline,PPG,large,1.0,1.0,low,edge,1.6671867014211956,1.0,178.538432688664,3.5969445158206987,1.0,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.8339053715633153,1.6671867014211956,1.0,159.17156989294617,178.538432688664,3.3669445158206988,3.5969445158206987,1.6803104826350814,642.1928363227129,297.6569006711239,143.89362500895658,22.33401485880002,0.0,0.34399047934510846,0.4716059320971366,0.15417265862716714,0.06634528973778316,L2_Edge
baseline,PPG,large,1.0,1.0,high,edge,2.039536427040543,0.9407,179.85424304387075,3.742385460476462,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.955111171890717,2.0395364270405434,0.9225,160.43677215756807,179.85424304387075,3.512385460476462,3.742385460476462,1.668017361852413,673.0839041723817,366.81928024577763,176.03084859932295,22.33401485880002,0.0,0.37551007993299235,0.5228244356444172,0.17457712094197045,0.11492075849972085,L2_Edge
baseline,PPG,large,2.0,1.0,low,edge,1.1950688389504065,1.0,251.251926544903,3.6731746422927247,2.0,0.0,1.0,20.0,1.0,0.5,1.0,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.8590908160144466,1.1950688389504065,1.0,165.45272676729377,251.25192654490303,3.4431746422927247,3.6731746422927247,1.1940206951861316,922.8922054119321,300.2633481400701,103.14548887969715,22.54901726392302,0.0,0.4143379118832084,0.4212137430611631,0.16486727248939573,0.004754411854748826,L2_Edge
baseline,PPG,large,2.0,1.0,high,edge,1.4645451177610982,0.9407,250.55584271312813,3.637211868730556,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.9854444662915482,1.4645451177610982,0.9225,164.9693352174501,250.55584271312813,3.407211868730556,3.637211868730556,1.1973378738706268,911.324684895976,366.95033617202944,126.40378297413788,22.54901726392302,0.0,0.4438942583346034,0.4605290507642811,0.1598219184481258,0.03990936340380346,L2_Edge
baseline,ECG,tiny,0.5,1.0,low,edge,2.300632064212473,1.0,133.42469282951382,3.15648568283758,0.5,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.545452906938852,2.300632064212473,1.0,215.0440943384175,133.4246928295138,3.10648568283758,3.15648568283758,2.2484593641398245,421.15313265336215,306.96112648127945,272.93387031891274,12.870891990396949,0.0,0.2982646318025429,0.4407547146434708,0.09237901667786642,0.26138984258974574,L2_Edge
baseline,ECG,tiny,0.5,1.0,high,edge,2.5967439322937,0.971375,133.5983802135186,3.083549001391933,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.5201450817894566,2.5967439322937,0.9225,215.35425038128318,133.5983802135186,3.033549001391933,3.083549001391933,2.2455362072544314,411.957151894975,346.92078318372114,308.06289397287014,12.870891990396949,0.0,0.3286657539669891,0.479453781430465,0.08214645272246211,0.314487422296404,L2_Edge
baseline,ECG,tiny,1.0,1.0,low,edge,1.612056744632046,1.0,188.5806305651685,3.1134936490402594,1.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.5314539074004436,1.612056744632046,1.0,231.02714548048485,188.5806305651685,3.0634936490402596,3.1134936490402594,1.5908314607969662,587.1445955966595,304.00267740954405,191.24522053322866,11.495493260622336,0.0,0.3538801553084634,0.3479005483951959,0.08634750103053311,0.1379173078603034,L1_Device
baseline,ECG,tiny,1.0,1.0,high,edge,1.7973706190686305,0.971375,186.2936692015756,3.154783806708572,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.4880192489021342,1.7973706190686307,0.9225,228.01798579154683,186.2936692015756,3.1047838067085722,3.154783806708572,1.610360680992281,587.7162508894542,334.83876754140266,213.2298019708883,11.495493260622336,0.0,0.38185388506028584,0.37290691575162427,0.09214025401429192,0.17114704053669533,L1_Device
baseline,ECG,tiny,2.0,1.0,low,edge,1.132945564161946,1.0,296.8548786040671,3.222369300773133,2.0,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.5221156331548484,1.132945564161946,1.0,244.70248155523026,296.8548786040671,3.1723693007731333,3.222369300773133,1.010594811211197,956.576047598481,336.3204179143108,134.4062018857468,16.784191385188162,0.0,0.45750798646037305,0.35614451187156615,0.10162207957539297,0.052005033360100615,L1_Device
baseline,ECG,tiny,2.0,1.0,high,edge,1.3231013159408866,0.971375,294.9094926620268,3.1322792057996307,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.5490984175402411,1.3231013159408866,0.9225,243.02542470864384,294.9094926620268,3.082279205799631,3.1322792057996307,1.017261252908556,923.7388714581854,390.19513782458694,156.9651960438129,16.784191385188162,0.0,0.48589476233148277,0.38480850016382917,0.0889829981105777,0.08610299185189645,L1_Device
