Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
noisefitstress,PPG,base,0.5,1.0,high,edge,3.5522800591085995,0.9292,113.8213606181493,3.5447933835537944,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.2984168927171353,3.5522800591086,0.9225,144.0305151687847,113.82136061814928,3.4147933835537945,3.5447933835537944,2.6357091355325424,403.473206026306,404.3253496244606,306.59460893998016,16.65965980402322,0.0,0.3075187778372971,0.6360417576723968,0.14685617828160163,0.3122681069424122,L2_Edge
noisefitstress,ECG,tiny,2.0,1.0,high,edge,1.3355893255568787,0.9595,296.71801919360735,3.127840284611597,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.5637194867669797,1.335589325556879,0.9225,244.58449930483394,296.71801919360735,3.077840284611597,3.127840284611597,1.0110609420193357,928.086573603922,396.2934191353631,158.44670230032912,11.336097064401663,0.0,0.48759842077435445,0.3275404131110558,0.08836024500405744,0.08834229110815178,L1_Device
noisefitstress,NIRS,base,0.5,1.0,high,edge,2.09310616639913,0.97465,181.3560095164514,3.887558897018262,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.3542937186966566,2.09310616639913,0.9225,240.50858502350198,181.3560095164514,3.7575588970182623,3.887558897018262,1.654204902279712,705.0321683234092,379.59738183242376,303.0065720823857,5.6829210270551656,0.0,0.37699240430838626,0.34873533700455683,0.19494405352782998,0.30684478305748863,L1_Device
noisefitstress,NIRS,large,0.5,1.0,high,edge,1.7669508084780432,0.97465,234.4662378431388,3.9665356669143,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.1977038680328234,1.7669508084780434,0.9225,263.65028314659384,234.46623784313883,3.7365356669143,3.9665356669143,1.279501913621799,930.0186950920216,414.2903085177394,255.7909943174082,11.077415492340958,0.0,0.42852680489992834,0.37565636432882143,0.20602400442406985,0.2354783560122158,L1_Device
noisefitstress,NIRS,large,1.0,1.0,high,edge,1.2133210398474097,0.97465,299.49150196433123,3.991621637552585,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.1630964216402184,1.2133210398474097,0.9225,275.47259804262626,299.49150196433123,3.761621637552585,3.991621637552585,1.0016978713330214,1195.456759503947,363.3793405888249,175.64529454904581,7.595940669408385,0.0,0.4902099463944828,0.2684983290781238,0.20954341048768318,0.11433799288922518,L1_Device
noisefitstress,uUS,tiny,0.5,1.0,low,edge,2.925807428894864,1.0,184.03587685425455,3.675228345720655,0.5,0.0,1.0,20.0,1.0,0.5,1.0,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.9654153597466588,2.925807428894864,1.0,305.4212086683117,184.03587685425455,3.625228345720655,3.675228345720655,1.6301169376750497,676.3738712443121,538.4535356833583,292.42570155373863,15.241143920765987,0.0,0.3494138715168296,0.5682245339075913,0.16515539434050283,0.2908517790447689,L2_Edge
noisefitstress,uUS,tiny,0.5,1.0,high,edge,3.371733949977193,0.9696,187.35091653060653,3.673148050576669,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,1.973827575918508,3.3717339499771932,0.9225,311.34092237608303,187.35091653060653,3.623148050576669,3.673148050576669,1.6012731912682723,688.1676538281496,631.6974458255894,336.99472358885356,15.241143920765987,0.0,0.3828924758368189,0.6309712149765723,0.1648635418365907,0.3582179325498843,L2_Edge
noisefitstress,uUS,base,0.5,1.0,low,edge,2.6938485485581336,1.0,222.43683250663997,3.755246245277981,0.5,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,2.0000805049837447,2.6938485485581336,1.0,299.1954750094856,222.43683250663994,3.6252462452779812,3.755246245277981,1.3486975004062995,835.3050800820869,599.2111383938807,269.24210524312673,8.199215987921992,0.0,0.38675735704509095,0.47344728794044527,0.17638140926973467,0.2558097333245193,L2_Edge
noisefitstress,uUS,base,0.5,1.0,high,edge,2.914723009441916,0.9696,219.90084693836909,3.7445160803924273,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.8859010244180243,2.9147230094419165,0.9225,295.57263848338437,219.90084693836909,3.6145160803924274,3.7445160803924273,1.364251225844892,823.4222574526369,640.9500583670294,291.3178469824389,8.199215987921992,0.0,0.4145342041546048,0.5039259047030525,0.17487603369920937,0.28917725495373714,L2_Edge
noisefitstress,uUS,base,1.0,1.0,low,edge,1.832022538138128,1.0,297.1764610745331,3.8028054340129,1.0,0.0,1.0,20.0,1.0,0.5,1.0,1.05,1.0,0.1,0.6,0.02,0.0,1.0,1.9236236650450347,1.832022538138128,1.0,315.7516234161479,297.1764610745331,3.6728054340129,3.8028054340129,1.0095012199662703,1130.1042610349575,544.4339744926727,183.10517318621314,15.764663212841711,0.0,0.4578108522537246,0.45174744964467056,0.18305366842317394,0.12561361228704374,L1_Device
noisefitstress,uUS,large,0.5,1.0,high,edge,2.406468570128841,0.9696,290.90102446132624,3.874329106738833,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,0.6,0.02,0.0,1.0,1.6311923913860031,2.4064685701288413,0.9225,330.8345529301503,290.90102446132624,3.644329106738833,3.874329106738833,1.0312785957200485,1127.0463062506615,700.0441723844629,240.5193359402862,4.563136843104587,0.0,0.4821165812856297,0.41504678848849214,0.19308799602058335,0.21239521809412734,L1_Device
