Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,NIRS,large,0.5,1.0,high,edge+cloud,1.5903547058585543,0.9867125,239.8606804926191,5.280241731824998,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.0,1.5400008175598796,1.5903547058585543,0.9225,235.08878807525298,239.8606804926191,4.870241731824998,5.280241731824998,1.25072604390127,1266.5223749610698,381.46356197187197,230.2262233770521,10.796815203963028,100.0,0.43368871767276773,0.3482970458760127,0.8903288159586992,0.4968371607413333,L3_Connectivity
baseline,NIRS,large,1.0,0.25,high,edge+cloud,1.3937233794784198,0.2466781249999999,77.43888123239728,5.713072742487455,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.2903225806451613,1.4791773184006887,1.39372337947842,0.230625,221.2493776219649,77.43888123239728,4.904486272081353,5.713072742487455,3.8740229097536627,442.41396157753223,107.92837925424473,201.76107185874352,6.627841491234787,100.0,0.5343329141585395,0.243695236990112,0.9510523217544267,0.453812035235597,L3_Connectivity
baseline,NIRS,large,1.0,0.5,low,edge+cloud,1.144201186726174,0.51125,153.84678181134478,5.682066032791031,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.1,1.4,0.2,1.1,0.2,0.3,1.1764705882352942,1.76685071773571,1.1442011867261737,0.51125,241.7970503199052,153.84678181134478,5.001491459800982,5.682066032791031,1.9499920405736935,874.1675731844553,176.03167032254342,165.63922314506428,15.112004431638537,100.0,0.5098628304594011,0.31748976014666164,0.9467022727293453,0.3992137987426118,L3_Connectivity
baseline,NIRS,large,1.0,1.0,high,edge+cloud,1.0968105844382108,0.9867125,310.68788520053386,5.487599373874102,1.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.0,1.5020126273041172,1.096810584438211,0.9225,255.52608171719643,310.68788520053386,5.077599373874102,5.487599373874102,0.9655992856186351,1704.9306442967184,340.76576094466935,158.77876657639496,12.47096411962203,100.0,0.5007392498592707,0.30557856925708393,0.9194198068271344,0.38884420683287624,L3_Connectivity
baseline,NIRS,large,2.0,0.25,high,edge+cloud,0.9677980974667116,0.2466781249999999,111.68387264043926,5.741399035216941,2.0,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.2903225806451613,1.4525912216651702,0.9677980974667116,0.230625,252.2271505186946,111.68387264043926,4.9308363118297125,5.741399035216941,2.6861532726917097,641.2216786271097,108.08743945913164,140.10239360468435,6.7559077665309,100.0,0.5749492931721448,0.19721756564408624,0.9550263249065987,0.36061483694587776,L3_Connectivity
baseline,uRadar,tiny,2.0,0.25,high,edge+cloud,0.1520473713848657,0.24795625,105.20436027823573,5.74965673106406,2.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,0.1970917691243407,0.1520473713848657,0.230625,287.0174639011228,105.20436027823571,5.118517889361916,5.749656731064059,2.8515928351884376,604.8889582110463,15.996046438532119,191.55704509444888,8.881681727957202,100.0,0.5677273405468124,0.11625251294168,0.9561848284086107,0.4383886312212081,L3_Connectivity
baseline,uRadar,base,0.5,0.25,high,edge+cloud,0.2676479921990643,0.24795625,55.46395269137796,5.811628903242441,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,0.19172964110792812,0.2676479921990643,0.230625,205.88583123092343,55.46395269137796,5.096166421620875,5.811628903242441,5.408918503686736,322.33591054928354,14.844815577271202,337.1966121093896,8.927926911085148,100.0,0.5022374781892587,0.12960192532805506,0.9648791397304548,0.6585230873961054,L3_Connectivity
baseline,uRadar,base,2.0,0.25,low,edge+cloud,0.1262808392383889,0.255625,112.32405225954156,5.845087576503299,2.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.05,1.0,0.1,1.1,0.2,0.3,1.2903225806451613,0.24000998588507377,0.1262808392383889,0.255625,278.8043572197658,112.32405225954155,5.127290768840279,5.845087576503299,2.6708438127464014,656.5439224047536,14.184375585991559,159.09505173438797,6.804550800621212,100.0,0.5659065655634385,0.09042659383098314,0.9695731840332497,0.3893222723934793,L3_Connectivity
baseline,uRadar,base,2.0,0.5,low,edge+cloud,0.1150924991858299,0.51125,221.54466203609,5.804639569449548,2.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,1.05,1.0,0.1,1.1,0.2,0.3,1.1764705882352942,0.2399142785282302,0.11509249918582987,0.51125,292.694262506793,221.54466203609,5.218228161380521,5.804639569449547,1.354128766826842,1285.9869116550149,25.498128835013638,144.99940943252173,9.47203551622784,100.0,0.5764751636700143,0.11982772705646749,0.9638985795565627,0.3680166847969515,L3_Connectivity
baseline,uRadar,large,0.5,0.25,high,edge+cloud,0.2223514151014322,0.24795625,70.37455341475325,5.969867396639393,0.5,0.35,1.35,20.0,1.0,1.0,0.85,1.1,1.4,0.2,1.1,0.2,0.3,1.2903225806451613,0.16686626815376548,0.22235141510143225,0.230625,237.82198306633472,70.37455341475325,5.143365020129668,5.969867396639393,4.26290449378693,420.12675198379293,15.647881538901716,280.1296705195072,8.700678867439503,100.0,0.5248313025341724,0.1221348968110946,0.9870790187460331,0.5722663069762306,L3_Connectivity
