Scenario,Modality,Model,fs_factor,duty,motion,network,Error_orig,Coverage_orig,Energy_mWh_day_orig,Latency_p95_s_orig,f_samp,a_L,MotionPen,SNR_dB,NoisePen,p_fit,FitGain,g_m,chi_m,phi_m,eta_n,lambda_n,gamma_cloud,duty_term,eps_base,Error,Coverage,E_base,Energy_mWh_day,tau_base,Latency_p95_s,BatteryDays,EDP,EEprod,NormError_%,StressUplift_%,CloudBoost_pct,L1_Device_pen,L2_Edge_pen,L3_Conn_pen,L5_Analytics_pen,PrimaryLayerConcern
baseline,PPG,tiny,0.5,1.0,high,edge,3.888920340602128,0.9407,99.21990300079622,3.3569269841268032,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.0,2.2765907164421435,3.888920340602128,0.9225,153.96411250142182,99.21990300079622,3.3069269841268034,3.3569269841268032,3.02358691075915,333.07396974581684,385.8582989723665,335.6497773784318,20.335948354531432,0.0,0.2911266497039299,0.7115507784465839,0.12049968784214045,0.35618504403830753,L2_Edge
baseline,PPG,tiny,0.5,1.0,high,edge+cloud,3.7317085359054976,0.9407,107.41722130440397,4.683834394557597,0.5,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.0,3.1207974984039537,3.7317085359054984,0.9225,137.83535956847294,107.41722130440397,4.453834394557597,4.683834394557596,2.7928482635930965,503.1244757133723,400.8497616448942,322.0809452538028,25.72099676861781,100.0,0.3004306116583618,0.7547051291743615,0.8066565662607345,0.635675730931264,L3_Connectivity
baseline,PPG,tiny,1.0,0.25,low,edge,2.7887278049385418,0.255625,33.940900518687336,3.5166485047789,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,0.6,0.02,0.0,1.2903225806451613,2.3736425969780357,2.7887278049385418,0.255625,110.21526588782808,33.940900518687336,3.221300934678047,3.5166485047789,8.838893353310548,119.35821705989122,94.65193300111635,240.69299057736325,27.376479184388614,0.0,0.44601260681010313,0.6253650650306195,0.1429076263818854,0.21265769737691237,L2_Edge
baseline,PPG,tiny,1.0,0.25,low,edge+cloud,2.8838865872374355,0.255625,34.654157738926365,4.96134928924012,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,3.5066251029786315,2.8838865872374355,0.255625,97.87189938497792,34.654157738926365,4.3852086411536,4.961349289240119,8.656969886848978,171.9313808672373,99.93866069530011,248.90607320617355,12.659581261883513,100.0,0.4480856875909082,0.4760631947027587,0.8455901844639752,0.5250717859042916,L3_Connectivity
baseline,PPG,tiny,1.0,0.25,high,edge,3.5521832919668,0.2351749999999999,33.775755300596614,3.5856458129292097,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.2903225806451613,2.279124138309853,3.552183291966799,0.230625,109.34608052945586,33.775755300596614,3.2854844771434513,3.5856458129292097,8.882110772359272,121.10789557210582,119.97767365233834,306.58625704105754,27.376479184388614,0.0,0.45527223251720933,0.7146421587489543,0.1525875207012467,0.3122554830328178,L2_Edge
baseline,PPG,tiny,1.0,0.25,high,edge+cloud,3.248974553249318,0.2351749999999999,35.43108030435874,5.055541227809207,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.2903225806451613,2.9779738746714104,3.2489745532493175,0.230625,101.38341380501124,35.43108030435874,4.472829049124844,5.055541227809206,8.467142334440588,179.12328722450434,115.11467830299462,280.41653980947234,12.659581261883513,100.0,0.4600269172838224,0.5191700959778466,0.8588047291400986,0.5726999104016876,L3_Connectivity
baseline,PPG,tiny,1.0,0.5,low,edge,2.581199186024932,0.51125,67.76406948902812,3.5859430789997213,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,0.6,0.02,0.0,1.1764705882352942,2.409616581173563,2.5811991860249317,0.51125,144.11597233954768,67.76406948902812,3.3651838847616395,3.5859430789997213,4.427124909441484,242.99809598903656,174.91256100681628,222.78135222088778,25.830578580156693,0.0,0.4117367604169543,0.5959904426419105,0.1526292252868954,0.1855842251768772,L2_Edge
baseline,PPG,tiny,1.0,0.5,low,edge+cloud,2.488921206847229,0.51125,70.67880271047903,4.876175791360636,1.0,0.0,1.0,20.0,1.0,0.9499999999999993,0.8650000000000002,0.95,0.6,0.02,1.1,0.2,0.3,1.1764705882352942,3.31924669616703,2.4889212068472286,0.51125,130.34757674684528,70.67880271047903,4.413976944152986,4.876175791360635,4.24455407413857,344.6422667391923,175.91397094068265,214.81690953365808,21.933123191539107,100.0,0.4158297946926491,0.5431860133444637,0.833640871072101,0.4735459563490827,L3_Connectivity
baseline,PPG,tiny,1.0,0.5,high,edge,3.2479378700814667,0.4703499999999999,67.34953360130808,3.5045777511176683,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,0.6,0.02,0.0,1.1764705882352942,2.2855859085758468,3.2479378700814667,0.46125,143.02508842449495,67.34953360130808,3.2876930963025415,3.5045777511176683,4.454373830944737,236.0316770072961,218.74710071601274,280.32706446823994,25.830578580156693,0.0,0.43064096940595076,0.6768922057233342,0.14121417452226756,0.27256466826943626,L2_Edge
baseline,PPG,tiny,1.0,0.5,high,edge+cloud,3.034819361285373,0.4703499999999999,71.03299392990144,4.945327928578579,1.0,0.35,1.35,20.0,1.0,1.0,0.85,0.95,0.6,0.02,1.1,0.2,0.3,1.1764705882352942,3.050876606583179,3.034819361285373,0.46125,131.1480088811332,71.03299392990144,4.479836122455789,4.945327928578578,4.223389489904558,351.2814487320942,215.57230526853124,261.9329669379324,21.933123191539107,100.0,0.43581554386604726,0.6099342550799616,0.8433424869491932,0.5447619581978876,L3_Connectivity
