Scenario,Modality,Model,fs_factor,duty,motion,network,Error,Coverage,Energy_mWh_day,Latency_p95_s
Baseline,PPG,base,1.0,0.5,low,edge+cloud,2.227349172462602,0.51125,77.69948103562605,4.958453563087178
Baseline,PPG,base,1.0,0.5,high,edge,2.7248054202309904,0.47034999999999993,75.04070826993657,3.5136122638527034
Baseline,PPG,base,1.0,0.5,high,edge+cloud,2.7537102610176603,0.47034999999999993,76.52406777707266,4.980180303012392
Baseline,PPG,base,1.0,1.0,low,edge,1.9707430738344889,1.0,150.51743114249302,3.51734597783078
Baseline,PPG,base,1.0,1.0,low,edge+cloud,1.849871137925554,1.0,156.41872224334526,4.69490518044462
Baseline,PPG,base,1.0,1.0,high,edge,2.3728929408921124,0.9406999999999999,153.1690049555449,3.527854738641221
Baseline,PPG,base,1.0,1.0,high,edge+cloud,2.3202897530075575,0.9406999999999999,155.89749734781157,4.84739461606502
Baseline,PPG,base,2.0,0.25,low,edge,1.8373153494049996,0.255625,56.508642195901935,3.743713345132215
Baseline,PPG,base,2.0,0.25,low,edge+cloud,1.7899164546765274,0.255625,57.14109916766138,5.106377878454703
Baseline,PPG,base,2.0,0.25,high,edge,2.2994232351542347,0.23517499999999997,55.863000117817435,3.7048807112723976
Baseline,PPG,base,2.0,0.25,high,edge+cloud,2.0827225368734332,0.23517499999999997,57.713938412485234,4.949930821294032
Baseline,PPG,base,2.0,0.5,low,edge,1.666296145980255,0.51125,109.51902450391391,3.5353733892144246
Baseline,PPG,base,2.0,0.5,low,edge+cloud,1.5849627029885507,0.51125,114.57089600003252,4.984670474204879
Baseline,PPG,base,2.0,0.5,high,edge,2.0994429744812977,0.47034999999999993,111.45680324017366,3.6391851670556385
Baseline,PPG,base,2.0,0.5,high,edge+cloud,1.9373095653951182,0.47034999999999993,112.60601490327782,5.0891298304717045
Baseline,PPG,base,2.0,1.0,low,edge,1.4198874981049698,1.0,217.58683339911437,3.3796166128735097
Baseline,PPG,base,2.0,1.0,low,edge+cloud,1.3606292751385927,1.0,226.63745938294068,4.876976991479072
Baseline,PPG,base,2.0,1.0,high,edge,1.6824884080134173,0.9406999999999999,222.27984574025908,3.4050247870786685
Baseline,PPG,base,2.0,1.0,high,edge+cloud,1.6497260231737032,0.9406999999999999,228.66587897708015,4.729776107430852
Baseline,PPG,large,0.5,0.25,low,edge,2.9916763038945073,0.255625,35.236399433400386,3.8248124298566157
Baseline,PPG,large,0.5,0.25,low,edge+cloud,2.905847917646667,0.255625,37.26812487966609,5.236290386103696
Baseline,PPG,large,0.5,0.25,high,edge,3.7683219896925597,0.23517499999999997,35.54350929692909,3.8375141238560913
Baseline,PPG,large,0.5,0.25,high,edge+cloud,3.554689168667076,0.23517499999999997,37.78686736482879,5.177693163822628
Baseline,PPG,large,0.5,0.5,low,edge,2.857483338161361,0.51125,72.21816383267772,3.778177114674152
Baseline,PPG,large,0.5,0.5,low,edge+cloud,2.6752319130379405,0.51125,74.1277845961132,5.19561436870261
Baseline,PPG,large,0.5,0.5,high,edge,3.483124540876533,0.47034999999999993,71.64547701465527,3.917812671609108
Baseline,PPG,large,0.5,0.5,high,edge+cloud,3.2762095266393936,0.47034999999999993,74.36445140190597,5.14249277264177
Baseline,PPG,large,0.5,1.0,low,edge,2.437797251554142,1.0,142.51072744999405,3.532018752729447
Baseline,PPG,large,0.5,1.0,low,edge+cloud,2.2094731698587258,1.0,147.76651601059973,4.89808249580202
Baseline,PPG,large,0.5,1.0,high,edge,2.908573254043683,0.9406999999999999,143.69037552485025,3.711265439013305
Baseline,PPG,large,0.5,1.0,high,edge+cloud,2.719880341021202,0.9406999999999999,148.92797405328784,4.880573552683225
Baseline,PPG,large,1.0,0.25,low,edge,2.1874728662892133,0.255625,43.630569001624,3.8116381967493753
Baseline,PPG,large,1.0,0.25,low,edge+cloud,2.063257497759383,0.255625,45.381778032056204,5.263350897624923
Baseline,PPG,large,1.0,0.25,high,edge,2.699597194569808,0.23517499999999997,45.51026513674838,3.8052342287451335
Baseline,PPG,large,1.0,0.25,high,edge+cloud,2.462771751431729,0.23517499999999997,46.510343682215094,5.3095294240425535
Baseline,PPG,large,1.0,0.5,low,edge,1.9644222834189164,0.51125,89.90652315116851,3.685593731918048
Baseline,PPG,large,1.0,0.5,low,edge+cloud,1.8868364731727898,0.51125,92.09841591491005,5.032664932568106
Baseline,PPG,large,1.0,0.5,high,edge,2.3366655503054004,0.47034999999999993,87.41583160074657,3.730823387742731
Baseline,PPG,large,1.0,0.5,high,edge+cloud,2.313298415304771,0.47034999999999993,91.78247336101178,5.137428647461601
Baseline,PPG,large,1.0,1.0,low,edge,1.6671867014211956,1.0,178.538432688664,3.5969445158206987
Baseline,PPG,large,1.0,1.0,low,edge+cloud,1.5761191587917576,1.0,184.50412798792337,4.895900461684338
Baseline,PPG,large,1.0,1.0,high,edge,2.039536427040543,0.9406999999999999,179.85424304387075,3.742385460476462
Baseline,PPG,large,1.0,1.0,high,edge+cloud,1.917584040349697,0.9406999999999999,181.99897928694915,4.907358688257405
Baseline,PPG,large,2.0,0.25,low,edge,1.5477371683646635,0.255625,63.59466717778988,3.8819394779723546
Baseline,PPG,large,2.0,0.25,low,edge+cloud,1.5115655291426386,0.255625,63.00420219042319,5.4398408698917615
Baseline,PPG,large,2.0,0.25,high,edge,1.841228068931289,0.23517499999999997,62.334629492632146,3.861589008633592
Baseline,PPG,large,2.0,0.25,high,edge+cloud,1.7763020859819425,0.23517499999999997,63.98611769599115,5.338179503772281
Baseline,PPG,large,2.0,0.5,low,edge,1.3625167273835435,0.51125,124.55308717123745,3.8217832183249434
Baseline,PPG,large,2.0,0.5,low,edge+cloud,1.2960000866090156,0.51125,128.68458883216164,5.110693450551821
Baseline,PPG,large,2.0,0.5,high,edge,1.7021097258333782,0.47034999999999993,123.95012744253569,3.8249215967387493
Baseline,PPG,large,2.0,0.5,high,edge+cloud,1.5925921684239819,0.47034999999999993,127.0949099510191,5.1617301834034945
Baseline,PPG,large,2.0,1.0,low,edge,1.1950688389504063,1.0,251.251926544903,3.6731746422927247
Baseline,PPG,large,2.0,1.0,low,edge+cloud,1.1586244361537368,1.0,255.60655667845108,4.950776140871684
Baseline,PPG,large,2.0,1.0,high,edge,1.4645451177610982,0.9406999999999999,250.55584271312813,3.6372118687305557
Baseline,PPG,large,2.0,1.0,high,edge+cloud,1.3594143244707488,0.9406999999999999,255.29009083729017,4.935611010350471
Baseline,ECG,tiny,0.5,0.25,low,edge,2.84964250961212,0.255625,33.27153117745141,3.456386184947608
Baseline,ECG,tiny,0.5,0.25,low,edge+cloud,3.056923948520537,0.255625,34.73368852318736,4.6150866856779
Baseline,ECG,tiny,0.5,0.25,high,edge,3.344975643091257,0.24284374999999997,33.181742991054975,3.3260376712668545
Baseline,ECG,tiny,0.5,0.25,high,edge+cloud,3.338649288470865,0.24284374999999997,35.27188640490198,4.5431400463456635
Baseline,ECG,tiny,0.5,0.5,low,edge,2.729542863133824,0.51125,66.01849764257352,3.329665089720388
Baseline,ECG,tiny,0.5,0.5,low,edge+cloud,2.5648694014394877,0.51125,70.25388014215011,4.673879185925465
Baseline,ECG,tiny,0.5,0.5,high,edge,3.037526988452278,0.48568749999999994,65.82486488158284,3.2668094203597597
Baseline,ECG,tiny,0.5,0.5,high,edge+cloud,3.0355626254147356,0.48568749999999994,69.65871598312773,4.586516774751353
Baseline,ECG,tiny,0.5,1.0,low,edge,2.300632064212473,1.0,133.42469282951382,3.1564856828375802
Baseline,ECG,tiny,0.5,1.0,low,edge+cloud,2.2419264219910033,1.0,140.8262266090363,4.57003189655166
Baseline,ECG,tiny,0.5,1.0,high,edge,2.5967439322936996,0.9713749999999999,133.5983802135186,3.083549001391933
Baseline,ECG,tiny,0.5,1.0,high,edge+cloud,2.5469305951071783,0.9713749999999999,140.77269107509017,4.378057480835435
Baseline,ECG,tiny,1.0,0.25,low,edge,2.030691369132928,0.255625,46.43374888987984,3.4142127915570413
Baseline,ECG,tiny,1.0,0.25,low,edge+cloud,2.0403845851731983,0.255625,47.51406003749287,4.856515356445282
Baseline,ECG,tiny,1.0,0.25,high,edge,2.3568450563716152,0.24284374999999997,45.94326289664025,3.462125852346996
Baseline,ECG,tiny,1.0,0.25,high,edge+cloud,2.322030110311233,0.24284374999999997,48.037840753899616,4.8774319093037795
Baseline,ECG,tiny,1.0,0.5,low,edge,1.8933498439457668,0.51125,94.21096277068246,3.317488147948706
